source,unit,value,count,ratio
tokenized_pedal3,tokens,42,8252,0.0027611461366372505
tokenized_pedal3,tokens,43,8182,0.002737723908139358
tokenized_pedal3,tokens,44,8653,0.0028953220456037483
tokenized_pedal3,tokens,45,8685,0.0029060293500599273
tokenized_pedal3,tokens,46,9245,0.0030934071780430662
tokenized_pedal3,tokens,47,9463,0.003166350689650788
tokenized_pedal3,tokens,48,9742,0.0032597050003781015
tokenized_pedal3,tokens,49,9589,0.003208510700946994
tokenized_pedal3,tokens,50,10592,0.003544117774995366
tokenized_pedal3,tokens,51,10759,0.003599996520126052
tokenized_pedal3,tokens,52,11418,0.0038205000712704953
tokenized_pedal3,tokens,53,11719,0.0039212156538114325
tokenized_pedal3,tokens,54,12623,0.004223697004698499
tokenized_pedal3,tokens,55,12833,0.0042939636901921764
tokenized_pedal3,tokens,56,13711,0.004587745356208597
tokenized_pedal3,tokens,57,13838,0.004630239970769058
tokenized_pedal3,tokens,58,14674,0.004909968299686745
tokenized_pedal3,tokens,59,15560,0.00520642679181721
tokenized_pedal3,tokens,60,17390,0.005818750765404967
tokenized_pedal3,tokens,61,18637,0.006236001035931706
tokenized_pedal3,tokens,62,19813,0.0066294944746962976
tokenized_pedal3,tokens,63,22181,0.007421835004453569
tokenized_pedal3,tokens,64,24075,0.008055573586953685
tokenized_pedal3,tokens,65,22301,0.007461987396164242
tokenized_pedal3,tokens,66,20647,0.006908553597085472
tokenized_pedal3,tokens,67,19473,0.006515729364849392
tokenized_pedal3,tokens,68,18108,0.006058995909140491
tokenized_pedal3,tokens,69,17429,0.005831800292710935
tokenized_pedal3,tokens,70,16797,0.005620331029701393
tokenized_pedal3,tokens,71,16549,0.005537349420166003
tokenized_pedal3,tokens,72,16284,0.005448679555138268
tokenized_pedal3,tokens,73,16175,0.005412207799334407
tokenized_pedal3,tokens,74,15795,0.0052850585589172775
tokenized_pedal3,tokens,75,15856,0.005305469358036869
tokenized_pedal3,tokens,76,15886,0.0053155074559645375
tokenized_pedal3,tokens,77,15685,0.005248252199849161
tokenized_pedal3,tokens,78,15736,0.005265316966326197
tokenized_pedal3,tokens,79,15986,0.005348967782390098
tokenized_pedal3,tokens,80,15140,0.005065893420829856
tokenized_pedal3,tokens,81,15843,0.005301119515601547
tokenized_pedal3,tokens,82,15195,0.005084296600363914
tokenized_pedal3,tokens,83,15537,0.0051987309167393315
tokenized_pedal3,tokens,84,14631,0.004895580359323753
tokenized_pedal3,tokens,85,14414,0.0048229714509802875
tokenized_pedal3,tokens,86,14764,0.004940082593469749
tokenized_pedal3,tokens,87,14586,0.004880523212432251
tokenized_pedal3,tokens,88,13612,0.004554619633047292
tokenized_pedal3,tokens,89,12165,0.004070448709669432
tokenized_pedal3,tokens,90,12946,0.004331773859053059
